Dipole moment curve

 R              Dipole          
(Bohr)         (Debye)  
 1.8         4.8398937787
 1.9         4.8829955044
 2.0         4.9362862383
 2.1         4.9983183322
 2.2         5.0680636981
 2.3         5.1446358084
 2.4         5.2272212027
 2.5         5.3149750637
 2.6         5.4074198318
 2.7         5.5038428612
 2.8         5.6039405400
 2.9         5.7070802926
 3.0         5.8129130014
 3.1         5.9208671340
 3.2         6.0302412728
 3.3         6.1409887202
 3.4         6.2523132505
 3.5         6.3641230140
 3.6         6.4748157796
 3.7         6.5852459625
 3.8         6.6940812831
 3.9         6.8005334769
 4.0         6.9044211179
 4.1         7.0052663891
 4.2         7.1021726354
 4.3         7.1937322790
 4.4         7.2805533960
 4.5         7.3600278783
 4.6         7.4330172972
 4.7         7.4979881683
 4.8         7.5532853634
 4.9         7.5984503480
 5.0         7.6330130668
 5.1         7.6546602103
 5.2         7.6629868968
 5.3         7.6562541413
 5.4         7.6332332677
 5.5         7.5925899795
 5.6         7.5350540418
 5.7         7.4577362790
 5.8         7.3601938482
 5.9         7.2411163694
 6.0         7.1006134480
 6.1         6.9386265399
 6.2         6.7551956093
 6.3         6.5506309457
 6.4         6.3275004442
 6.5         6.0860588448
 6.6         5.8282063826
 6.7         5.5573171201
 6.8         5.2745377078
 6.9         4.9855872689
 7.0         4.6869157797
 7.5         3.2646712564
 8.0         2.1139470358
 8.5         1.3137802084
 9.0         0.8010930534
 9.5         0.4856067937
10.0         0.2945781390
10.5         0.1786368105
11.0         0.1090068018
11.5         0.0667432090
12.0         0.0411325448
12.5         0.0250793930
13.0         0.0159025869
13.5         0.0099826063
14.0         0.0062917260
14.5         0.0041135282
15.0         0.0026885438
15.5         0.0018739589
16.0         0.0015883983
16.5         0.0003866400
17.0         0.0003752962
17.5         0.0001943737
18.0         0.0005475267
19.0         0.0004363568
20.0         0.0000864771
21.0         0.0000161213
22.0         0.0003807853
23.0         0.0002087282
24.0         0.0000214241
25.0         0.0005218372
26.0         0.0006540426
27.0         0.0005634667
28.0         0.0004761130
29.0         0.0004135222
30.0         0.0003475708



R-dependent effective reduced mass of Diniz et al. 

 R          Reduced mass         
(Bohr)     (atomic units)  
 1.2         1607.14767
 1.9         1606.99560
 2.0         1606.96116
 2.2         1606.90478
 2.4         1606.86240
 2.6         1606.83096
 2.8         1606.80700
 2.9         1606.79704
 3.0         1606.78806
 3.1         1606.78004
 3.2         1606.77271
 3.4         1606.76028
 3.6         1606.75025
 3.8         1606.74216
 4.0         1606.73535
 4.2         1606.72786
 4.5         1606.72075
 5.0         1606.70450
 5.5         1606.68249
 6.0         1606.65276
 7.0         1606.57018
 8.0         1606.48175
10.0         1606.40755
15.0         1606.39894
20.0         1606.39894
